sigma,prevalence,n,info,anchor,lam,rel_mean,rel_median,rel_p90,share_worse,max_weight_p90
0.75,0.25,400,COR-10000,PPS-A,1.0,0.9248137025758824,0.9247431666121566,0.925226138993856,0.0,31211.051601528874
0.75,0.25,400,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.25,400,COR-2000,PPS-A,0.25,0.9658276968913845,0.9658004735530807,0.9683111183170957,0.0,15367.998495162772
0.75,0.25,400,COR-2000,PPS-A,0.5,0.9427601772283901,0.9426334825854334,0.9460776049208721,0.0,16232.823400714784
0.75,0.25,400,COR-2000,PPS-A,0.75,0.9296251211737487,0.9293204146605094,0.9324291435044234,0.0,22215.16703861998
0.75,0.25,400,COR-2000,PPS-A,1.0,0.9265342394570532,0.9261479160179469,0.9285026335027429,0.0,35242.95108421874
0.75,0.25,400,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.25,400,COR-500,PPS-A,0.25,0.9656992383582365,0.9655541021564542,0.9706740581990217,0.0,15833.280719562927
0.75,0.25,400,COR-500,PPS-A,0.5,0.943973675258813,0.943609528690584,0.9507445012210101,0.0,16937.30798928855
0.75,0.25,400,COR-500,PPS-A,0.75,0.9337985229572385,0.9322692639781984,0.9400405716448912,0.0,23409.9474960993
0.75,0.25,400,COR-500,PPS-A,1.0,0.936983225269425,0.9331452976075094,0.9453531725996381,0.01,41479.76370361205
0.75,0.25,400,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.25,400,MIS-G-2000,PPS-A,0.25,0.9738722068600945,0.9739436859740234,0.9759371429971873,0.0,17212.949021573568
0.75,0.25,400,MIS-G-2000,PPS-A,0.5,0.9556370858818508,0.9556775613758683,0.9584682643261164,0.0,19604.375843988506
0.75,0.25,400,MIS-G-2000,PPS-A,0.75,0.9449233601002196,0.9447562463361079,0.9472492475076354,0.0,22767.5081089886
0.75,0.25,400,MIS-G-2000,PPS-A,1.0,0.9420753059094545,0.9417383513251323,0.9432370874856746,0.0,29990.741457004486
0.75,0.7,100,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.7,100,COR-10000,PPS-A,0.25,0.9889055076515829,0.9889338331543351,0.989281961542091,0.0,60760.68619101148
0.75,0.7,100,COR-10000,PPS-A,0.5,0.9808060258873591,0.9808335143543394,0.9813612591975257,0.0,60167.10727215859
0.75,0.7,100,COR-10000,PPS-A,0.75,0.9758731708491055,0.9758772627784035,0.9763248792850155,0.0,62388.75936715048
0.75,0.7,100,COR-10000,PPS-A,1.0,0.9743650284703869,0.9743183708191598,0.9745301673768869,0.0,74292.99602678254
0.75,0.7,100,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.7,100,COR-2000,PPS-A,0.25,0.988958866420165,0.9890104572982252,0.9898460120648929,0.0,61415.36670338744
0.75,0.7,100,COR-2000,PPS-A,0.5,0.9809760533893581,0.9810272681916914,0.9821906792831463,0.0,61464.7184969667
0.75,0.7,100,COR-2000,PPS-A,0.75,0.9762523687805479,0.9762371481487778,0.9771221590362278,0.0,64977.40353246366
0.75,0.7,100,COR-2000,PPS-A,1.0,0.9751053023748759,0.9748887337611976,0.9759666444265631,0.0,79064.85197670836
0.75,0.7,100,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.7,100,COR-500,PPS-A,0.25,0.989002530484818,0.989163942677511,0.9908683091776068,0.0,62046.33026336589
0.75,0.7,100,COR-500,PPS-A,0.5,0.9815268235094657,0.9815542157110613,0.9840756469522383,0.0,62741.829183527094
0.75,0.7,100,COR-500,PPS-A,0.75,0.9779927134929608,0.977403386187323,0.9808053906770622,0.0,70796.45988960938
0.75,0.7,100,COR-500,PPS-A,1.0,0.9794999195937831,0.9772997880851301,0.9863373119315758,0.02,92861.61745551821
0.75,0.7,100,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.7,100,MIS-G-2000,PPS-A,0.25,0.990870116754098,0.9908904519047133,0.9917095625008435,0.0,64833.58128628775
