dgp,sigma,prevalence,n,estimand,design,AV
STRATCAP,0.75,0.7,400,dollars,SRSWOR/DIFF,53357599746.70233
STRATCAP,0.75,0.7,400,dollars,ST-PROP/DIFF,53067356078.04747
STRATCAP,0.75,0.7,400,dollars,ST-EQD/DIFF,35892074084.38914
STRATCAP,0.75,0.7,400,dollars,PPS-A/DIFF(fixed),30113291539.00693
STRATCAP,1.5,0.05,100,rate,SRSWOR/DIFF,130973.44692445142
STRATCAP,1.5,0.05,100,rate,ST-PROP/DIFF,136828.03322394754
STRATCAP,1.5,0.05,100,rate,ST-EQD/DIFF,89627.38735996443
STRATCAP,1.5,0.05,100,rate,PPS-A/DIFF(fixed),130815.71195203072
STRATCAP,1.5,0.05,100,dollars,SRSWOR/DIFF,714290682431.3801
STRATCAP,1.5,0.05,100,dollars,ST-PROP/DIFF,784780287706.7751
STRATCAP,1.5,0.05,100,dollars,ST-EQD/DIFF,124260116330.68622
STRATCAP,1.5,0.05,100,dollars,PPS-A/DIFF(fixed),110619376858.88847
STRATCAP,1.5,0.05,400,rate,SRSWOR/DIFF,32249.743212553367
STRATCAP,1.5,0.05,400,rate,ST-PROP/DIFF,32037.18719234619
STRATCAP,1.5,0.05,400,rate,ST-EQD/DIFF,21913.22832143162
STRATCAP,1.5,0.05,400,rate,PPS-A/DIFF(fixed),32210.376166462433
STRATCAP,1.5,0.05,400,dollars,SRSWOR/DIFF,175880620297.17398
STRATCAP,1.5,0.05,400,dollars,ST-PROP/DIFF,173763112810.0971
STRATCAP,1.5,0.05,400,dollars,ST-EQD/DIFF,28372978772.000523
STRATCAP,1.5,0.05,400,dollars,PPS-A/DIFF(fixed),24964852307.239132
STRATCAP,1.5,0.25,100,rate,SRSWOR/DIFF,473143.6127649571
STRATCAP,1.5,0.25,100,rate,ST-PROP/DIFF,472460.7716145069
STRATCAP,1.5,0.25,100,rate,ST-EQD/DIFF,847353.6823688906
STRATCAP,1.5,0.25,100,rate,PPS-A/DIFF(fixed),1463458.5645266043
STRATCAP,1.5,0.25,100,dollars,SRSWOR/DIFF,277867441078.13983
STRATCAP,1.5,0.25,100,dollars,ST-PROP/DIFF,289818673086.6409
STRATCAP,1.5,0.25,100,dollars,ST-EQD/DIFF,141154897166.15015
STRATCAP,1.5,0.25,100,dollars,PPS-A/DIFF(fixed),129591128087.03958
STRATCAP,1.5,0.25,400,rate,SRSWOR/DIFF,116502.69862051707
STRATCAP,1.5,0.25,400,rate,ST-PROP/DIFF,116708.96759114233
STRATCAP,1.5,0.25,400,rate,ST-EQD/DIFF,210055.21602150047
STRATCAP,1.5,0.25,400,rate,PPS-A/DIFF(fixed),364081.2749449341
STRATCAP,1.5,0.25,400,dollars,SRSWOR/DIFF,68419621169.99422
STRATCAP,1.5,0.25,400,dollars,ST-PROP/DIFF,68081776824.28503
STRATCAP,1.5,0.25,400,dollars,ST-EQD/DIFF,34241485191.9968
STRATCAP,1.5,0.25,400,dollars,PPS-A/DIFF(fixed),31350802185.141712
STRATCAP,1.5,0.7,100,rate,SRSWOR/DIFF,723397.2956975867
STRATCAP,1.5,0.7,100,rate,ST-PROP/DIFF,717868.4665277998
STRATCAP,1.5,0.7,100,rate,ST-EQD/DIFF,2058175.8784907216
STRATCAP,1.5,0.7,100,rate,PPS-A/DIFF(fixed),3908937.9642893854
STRATCAP,1.5,0.7,100,dollars,SRSWOR/DIFF,74476054227.31146
STRATCAP,1.5,0.7,100,dollars,ST-PROP/DIFF,75125683238.62956
STRATCAP,1.5,0.7,100,dollars,ST-EQD/DIFF,105747365090.12228
STRATCAP,1.5,0.7,100,dollars,PPS-A/DIFF(fixed),84534699962.85948
STRATCAP,1.5,0.7,400,rate,SRSWOR/DIFF,178122.95220694345
STRATCAP,1.5,0.7,400,rate,ST-PROP/DIFF,178206.95177661252
STRATCAP,1.5,0.7,400,rate,ST-EQD/DIFF,511817.59790522716
STRATCAP,1.5,0.7,400,rate,PPS-A/DIFF(fixed),974507.6957157166
STRATCAP,1.5,0.7,400,dollars,SRSWOR/DIFF,18338324910.242523
STRATCAP,1.5,0.7,400,dollars,ST-PROP/DIFF,18351975822.29357
STRATCAP,1.5,0.7,400,dollars,ST-EQD/DIFF,26156152625.94522
STRATCAP,1.5,0.7,400,dollars,PPS-A/DIFF(fixed),20852987793.47501
