dgp,sigma,prevalence,n0,estimand,design_estimator,n_equal_precision
STRATCAP,0.0,0.05,400,rate,RA-OR/DIFF-OR,399.9999997776643
STRATCAP,0.0,0.05,400,dollars,EQ-P/HT,405.34790497827424
STRATCAP,0.0,0.05,400,dollars,SRSWOR/EXP,399.99999977766436
STRATCAP,0.0,0.05,400,dollars,ST-PROP/EXP,388.1613833024513
STRATCAP,0.0,0.05,400,dollars,ST-EQD/EXP,119.893360264593
STRATCAP,0.0,0.05,400,dollars,PPS-A/HT,109.15573271448278
STRATCAP,0.0,0.05,400,dollars,RA-OR/HT,109.15573271448277
STRATCAP,0.0,0.05,400,dollars,EQ-P/DIFF-OR,385.4711347288589
STRATCAP,0.0,0.05,400,dollars,SRSWOR/DIFF-OR,385.4711347288589
STRATCAP,0.0,0.05,400,dollars,RA-OR/DIFF-OR,103.8031370349488
STRATCAP,0.0,0.25,100,rate,EQ-P/HT,133.11148089743702
STRATCAP,0.0,0.25,100,rate,SRSWOR/EXP,100.00000000000001
STRATCAP,0.0,0.25,100,rate,ST-PROP/EXP,100.00000024053786
