dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh
MAIN,0.75,0.05,100,rate,ST-PROP,EXP,189332.15026509398,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.75,0.05,100,rate,ST-EQD,EXP,364905.2048233557,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.75,0.05,100,rate,PPS-A,HT,556711.3183630743,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,546660.564944966,
MAIN,0.75,0.05,100,rate,RA-OR,HT,171382.13818009227,0.0008526846835350362,0.02204266952128247,1172.766462573513,0.36732675438550033,0.0,9.970952486762904,161454.45433303236,
MAIN,0.75,0.05,100,rate,DEF-0.25-OR,HT,184819.87173536705,0.003963171170883759,0.009260667380320617,252.32319192940815,0.09306698108196378,0.0,9.974717707450683,174870.26614827936,
MAIN,0.75,0.05,100,rate,DEF-0.5-OR,HT,176989.1505534292,0.002926342341767518,0.013521334760641235,341.7235180337778,0.18035144471319098,0.0,9.973964777024271,167047.85414200954,
MAIN,0.75,0.05,100,rate,DEF-0.75-OR,HT,172772.01455759432,0.0018895135126512771,0.01778200214096185,529.2367550189396,0.2693786734521942,0.0,9.972709766656799,162838.02490933336,
MAIN,0.75,0.05,100,rate,EQ-P,DIFF-OR,178384.59847147428,0.005,0.005,200.0,0.0,0.0,9.974968671630002,178375.67924155074,
MAIN,0.75,0.05,100,rate,SRSWOR,DIFF-OR,178384.5984714743,,,,,,,,
MAIN,0.75,0.05,100,rate,RA-OR,DIFF-OR,159112.0504641224,0.0008844856614204761,0.012499206319793812,1130.6005779607653,0.33987072147123876,0.0,9.971949481926563,159103.14914934154,
MAIN,0.75,0.05,100,dollars,EQ-P,HT,366210252031.3696,0.005,0.005,200.0,0.0,0.0,9.974968671630002,360746691091.02795,
MAIN,0.75,0.05,100,dollars,SRSWOR,EXP,360764729327.4943,,,,,,,,
MAIN,0.75,0.05,100,dollars,ST-PROP,EXP,367772614268.7871,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.75,0.05,100,dollars,ST-EQD,EXP,80301470428.99193,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.75,0.05,100,dollars,PPS-A,HT,73566566051.68999,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,68242342737.82353,
MAIN,0.75,0.05,100,dollars,RA-OR,HT,64007332221.54479,7.116166535158862e-06,0.3087199228268686,140525.0980368851,2.4706422219911777,0.0,9.859274045495956,58765865985.69702,
MAIN,0.75,0.05,100,dollars,DEF-0.25-OR,HT,122316743144.72073,0.0037517790416337895,0.08092998070671716,266.54021702848723,0.31367372928077686,0.0,9.967777098932935,116932229871.3828,
MAIN,0.75,0.05,100,dollars,DEF-0.5-OR,HT,86276948754.78716,0.0025035580832675794,0.1568599614134343,399.43151576288807,0.5815491756993463,0.0,9.946171181718498,80955614920.04578,
MAIN,0.75,0.05,100,dollars,DEF-0.75-OR,HT,70595280199.64899,0.0012553371249013692,0.23278994212015144,796.5987623273462,0.9489130302839365,0.0,9.910056641922234,65321602600.83138,
MAIN,0.75,0.05,100,dollars,EQ-P,DIFF-OR,304791440153.22266,0.005,0.005,200.0,0.0,0.0,9.974968671630002,304776200581.21497,
MAIN,0.75,0.05,100,dollars,SRSWOR,DIFF-OR,304791440153.22266,,,,,,,,
