dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_fixed_equal_mean,rel_fixed_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,lambda
MAIN,0.0,0.05,100,rate,HT,COR-10000,DEF-0.5,1.000612007028969,1.0005174942744863,1.001156181094618,1.0,1.000612007028969,1.001156181094618,222.5636088233705,245.8938521767613,0.0231636634794024,0.5
MAIN,0.0,0.05,100,rate,HT,COR-10000,DEF-0.75,1.0014532563390783,1.0012375072915647,1.0026951204921681,1.0,1.0014532563390783,1.0026951204921681,235.86873659445405,277.7628959327913,0.034890032244390703,0.75
MAIN,0.0,0.05,100,rate,HT,COR-10000,RA-EST,1.0026570319792614,1.0022675297538675,1.0050054564109818,1.0,1.0026570319792614,1.0050054564109818,250.86580764424082,319.12279684947475,0.04680950233389537,1.0
MAIN,0.0,0.05,100,rate,HT,COR-2000,DEF-0.0,0.99995,0.9999500000000001,0.9999500000000001,0.0,0.99995,0.9999500000000001,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,HT,COR-2000,DEF-0.25,1.0007264750817837,1.000593929634831,1.0013569470459103,1.0,1.0007264750817837,1.0013569470459103,221.52544874992873,239.92049169405007,0.02467435085873082,0.25
MAIN,0.0,0.05,100,rate,HT,COR-2000,DEF-0.5,1.0030955913391315,1.0025095811250075,1.0056700072152986,1.0,1.0030955913391315,1.0056700072152986,248.24318557174934,299.75219751915483,0.04919409891654532,0.5
MAIN,0.0,0.05,100,rate,HT,COR-2000,DEF-0.75,1.0072247280374944,1.00566445345333,1.013606147599408,1.0,1.0072247280374944,1.013606147599408,282.28957323783993,399.34213853364275,0.07350384705863758,0.75
MAIN,0.0,0.05,100,rate,HT,COR-2000,RA-EST,1.013539173242894,1.0103612313491386,1.025749625385964,1.0,1.013539173242894,1.025749625385964,327.1592743889069,598.0441727515521,0.09921292350689084,1.0
MAIN,0.0,0.05,100,rate,HT,COR-500,DEF-0.0,0.99995,0.9999500000000001,0.9999500000000001,0.0,0.99995,0.9999500000000001,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,HT,COR-500,DEF-0.25,1.0041015452901083,1.0030175447523193,1.01022230476654,0.98,1.0041015452901083,1.01022230476654,241.37484706593781,266.61356470362495,0.05385491737606485,0.25
MAIN,0.0,0.05,100,rate,HT,COR-500,DEF-0.5,1.0185983565524113,1.012175287928052,1.0563425606716461,0.98,1.0185983565524113,1.0563425606716461,304.3359509621961,399.7611362974569,0.10751329678459992,0.5
MAIN,0.0,0.05,100,rate,HT,COR-500,DEF-0.75,1.056852619509745,1.027724633045395,1.2432280855782223,0.98,1.056852619509745,1.2432280855782223,411.7429475023956,798.5685274217841,0.16205332553737278,0.75
MAIN,0.0,0.05,100,rate,HT,COR-500,RA-EST,23.267667177596856,1.053509165311135,172.4058487511462,0.98,23.267667177596856,172.4058487511462,636.3665559258443,334719.5911617182,0.22502342975956097,1.0
MAIN,0.0,0.05,100,rate,HT,KS-2000,DEF-0.0,0.99995,0.9999500000000001,0.9999500000000001,0.0,0.99995,0.9999500000000001,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,HT,KS-2000,DEF-0.25,1.0009940786234492,1.000825181048664,1.001959883947754,1.0,1.0009940786234492,1.001959883947754,223.8244414080081,241.06079713328387,0.0287659075455884,0.25
