dgp,sigma,prevalence,n,estimand,info,estimator,design,rule,rel_mean,rel_median,rel_p90,maxw_p90,n_changed
MAIN,0.75,0.05,400,dollars,COR-500,HT,RA-EST,archived,4.416590328915154,0.9004444959020659,1.0035814195830108,130590.89256946447,1
MAIN,0.75,0.05,400,dollars,COR-500,HT,RA-EST,separation-aware,0.9470311996108487,0.9004444959020659,1.0004244415982624,124821.75014355272,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.0,archived,1.0036814377917538,1.001172183477197,1.0080532077677058,50.0,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.0,separation-aware,1.003702445395383,1.0012088204057155,1.0080532077677058,50.0,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.25,archived,0.9517866309225198,0.9522330522406428,0.969891520597179,66.45614173457152,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.25,separation-aware,0.9516717898355442,0.9522330522406428,0.969891520597179,66.42697642206974,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.5,archived,0.9275474051432606,0.9239644311903452,0.9548229950163685,99.05858355609581,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.5,separation-aware,0.926509536047584,0.9239644311903452,0.9548229950163685,98.92910693447597,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.75,archived,0.927238972859171,0.9124747453035447,0.9594429506359459,194.4558877320006,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,DEF-0.75,separation-aware,0.9227270950993001,0.9124747453035447,0.9594429506359459,193.7095830871608,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,RA-EST,archived,3.5301466838407562,0.9276213978951735,1.0286436693919194,5261.147173891293,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,RA-EST,separation-aware,0.9655285695813667,0.9276213978951735,1.020674452693534,4627.490248296116,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,SRSWOR,archived,1.0037316243729724,1.0012222445894263,1.0081036129483534,,1
MAIN,0.75,0.05,400,rate,COR-500,DIFF,SRSWOR,separation-aware,1.0037526330270343,1.0012588833498832,1.0081036129483534,,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.0,archived,1.0052587854646744,1.0052587854646744,1.0052587854646744,50.0,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.0,separation-aware,1.0052587854646744,1.0052587854646744,1.0052587854646744,50.0,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.25,archived,0.9322821802806988,0.9313388969329559,0.9524349649361668,66.46690409347642,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.25,separation-aware,0.9322939205822397,0.9313388969329559,0.9524349649361668,66.44000674716051,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.5,archived,0.9023409980751153,0.8978303249123754,0.930472419416719,99.10642351530855,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.5,separation-aware,0.9015020415140174,0.8978303249123754,0.930472419416719,98.98692973184649,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.75,archived,0.9016350710513966,0.8877916889296005,0.9387210501125368,194.7326762339895,1
MAIN,0.75,0.05,400,rate,COR-500,HT,DEF-0.75,separation-aware,0.8974323382478694,0.8877916889296005,0.9387210501125368,194.04246932769757,1
MAIN,0.75,0.05,400,rate,COR-500,HT,RA-EST,archived,3.5382645461114026,0.9052073081708785,1.0158059082394164,5545.492467828509,1
MAIN,0.75,0.05,400,rate,COR-500,HT,RA-EST,separation-aware,0.9450347603928254,0.9052073081708785,1.0080893227687346,4894.015615785318,1
STRATCAP,0.0,0.05,100,dollars,STRAT-2000,DIFF,DEF-0.0,archived,3.8185673629890964,3.8013806219236637,3.891751414352743,200.0,22
STRATCAP,0.0,0.05,100,dollars,STRAT-2000,DIFF,DEF-0.0,separation-aware,3.8044183555265647,3.791734243794737,3.846520213917797,200.0,22
STRATCAP,0.0,0.05,100,dollars,STRAT-2000,DIFF,DEF-0.25,archived,2.005286578309493,1.7280160343593982,4.131557066944209,266.40810611479753,22
STRATCAP,0.0,0.05,100,dollars,STRAT-2000,DIFF,DEF-0.25,separation-aware,1.7349033100658215,1.7071591072576693,1.8620813580018483,266.40185706396704,22
STRATCAP,0.0,0.05,100,dollars,STRAT-2000,DIFF,DEF-0.5,archived,1.7726672116681188,1.3011914907922912,5.50132462690746,398.8387294572657,22
STRATCAP,0.0,0.05,100,dollars,STRAT-2000,DIFF,DEF-0.5,separation-aware,1.3053223467296025,1.287053761062658,1.3802895331123854,398.8107187921339,22
STRATCAP,0.0,0.05,100,dollars,STRAT-2000,DIFF,DEF-0.75,archived,2.089901093298263,1.1068511581328186,9.981116130905773,793.0725996738764,22
